,Name,Price,Discount,Tags,Platforms
167,CHRONO TRIGGER®,"R$ 49,99",0,"['RPG', 'JRPG', 'Classic', 'Great', 'Soundtrack']",['win']
168,Worshippers,"R$ 18,62",-10%,"['RPG', 'Strategy', 'Turn-Based', 'Strategy', 'Board', 'Game']",['win']
169,Into the Breach,"R$ 28,99",0,"['Strategy', 'Indie', 'Turn-Based', 'Strategy', 'Mechs']",['win']
170,SoulWorker,Free to Play,0,"['Free', 'to', 'Play', 'Anime', 'Massively', 'Multiplayer', 'Action']",['win']
171,The Great Tournament 2,"R$ 6,51",-25%,"['Adventure', 'RPG', 'Indie', 'Text-Based']","['win', 'mac', 'linux']"
172,BYTEPATH,"R$ 4,49",0,"['Casual', 'Action', 'Indie', 'RPG']","['win', 'linux']"
173,Sword Art Online: Fatal Bullet,"R$ 159,90",0,"['Anime', 'RPG', 'Action', 'Character', 'Customization']",['win']
174,Exiled Kingdoms,"R$ 14,10",-15%,"['RPG', 'Adventure', 'Indie', 'Action']","['win', 'mac', 'linux']"
175,Space Bob vs. The Replicons,"R$ 18,62",-10%,"['Early', 'Access', 'Casual', 'Action', 'Adventure']",['win']
176,Earthworms,"R$ 9,59",-20%,"['Adventure', 'Indie', 'Casual', 'Great', 'Soundtrack']",['win']
177,Tale of Toast,Free To Play,0,"['Early', 'Access', 'Free', 'to', 'Play', 'RPG', 'Multiplayer']","['win', 'mac', 'linux']"
178,All Walls Must Fall - A Tech-Noir Tactics Game,"R$ 13,92",-30%,"['Indie', 'RPG', 'Cyberpunk', 'Violent']","['win', 'mac', 'linux']"
179,Fallen ~Makina and the City of Ruins~,"R$ 19,42",-33%,"['Sexual', 'Content', 'Nudity', 'RPG', 'Anime']",['win']
180,PLATI NALOG: Favorite Russian Game,"R$ 1,55",-32%,"['Strategy', 'RPG', 'Indie', 'Casual']",['win']
181,Blocked and Loaded,"R$ 2,29",0,"['Massively', 'Multiplayer', 'Indie', 'Action', 'Adventure']",['win']
182,Where the Water Tastes Like Wine,"R$ 31,44",-15%,"['Indie', 'Adventure', 'RPG', 'Great', 'Soundtrack']","['win', 'mac', 'linux']"
183,Elium - Prison Escape,"R$ 25,10",-10%,"['Indie', 'Violent', 'RPG', 'Action']",['win']
184,众生,"R$ 28,99",0,"['Early', 'Access', 'Strategy', 'RPG', 'Indie']",['win']
185,DragonFangZ - The Rose & Dungeon of Time,"R$ 47,49",0,"['RPG', 'Indie', 'Rogue-like', 'Anime']","['win', 'mac']"
186,Cyberdimension Neptunia: 4 Goddesses Online | 四女神オンライン CYBER DIMENSION NEPTUNE | 四女神ONLINE 幻次元遊戲戰機少女,"R$ 52,84",-30%,"['RPG', 'Anime', 'JRPG', 'Hack', 'and', 'Slash']",['win']
187,CHRONO TRIGGER®,"R$ 49,99",0,"['RPG', 'JRPG', 'Classic', 'Great', 'Soundtrack']",['win']
188,Worshippers,"R$ 18,62",-10%,"['RPG', 'Strategy', 'Turn-Based', 'Strategy', 'Board', 'Game']",['win']
189,Into the Breach,"R$ 28,99",0,"['Strategy', 'Indie', 'Turn-Based', 'Strategy', 'Mechs']",['win']
190,SoulWorker,Free to Play,0,"['Free', 'to', 'Play', 'Anime', 'Massively', 'Multiplayer', 'Action']",['win']
191,The Great Tournament 2,"R$ 6,51",-25%,"['Adventure', 'RPG', 'Indie', 'Text-Based']","['win', 'mac', 'linux']"
192,BYTEPATH,"R$ 4,49",0,"['Casual', 'Action', 'Indie', 'RPG']","['win', 'linux']"
193,Sword Art Online: Fatal Bullet,"R$ 159,90",0,"['Anime', 'RPG', 'Action', 'Character', 'Customization']",['win']
194,Exiled Kingdoms,"R$ 14,10",-15%,"['RPG', 'Adventure', 'Indie', 'Action']","['win', 'mac', 'linux']"
195,Space Bob vs. The Replicons,"R$ 18,62",-10%,"['Early', 'Access', 'Casual', 'Action', 'Adventure']",['win']
196,Earthworms,"R$ 9,59",-20%,"['Adventure', 'Indie', 'Casual', 'Great', 'Soundtrack']",['win']
197,Tale of Toast,Free To Play,0,"['Early', 'Access', 'Free', 'to', 'Play', 'RPG', 'Multiplayer']","['win', 'mac', 'linux']"
198,All Walls Must Fall - A Tech-Noir Tactics Game,"R$ 13,92",-30%,"['Indie', 'RPG', 'Cyberpunk', 'Violent']","['win', 'mac', 'linux']"
199,Fallen ~Makina and the City of Ruins~,"R$ 19,42",-33%,"['Sexual', 'Content', 'Nudity', 'RPG', 'Anime']",['win']
